"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","3","0","0","0","0","0","0","0","0","2","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","17"," "," ","22","22","0","0","1467","8052","868"
"Pichincha","Quito","170150","12","3","18","2","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0"," "," ","6","6","0","0","56","2196","39"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","2","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","7"," "," ","9","9","1","1","1020","3294","568"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","3","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","12"," "," ","15","15","0","0","2725","5490","1370"
"Pichincha","Quito","170150","1","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"," "," ","7","7","0","0","537","2562","301"
"Cotopaxi","Latacunga","50150","12","3","18","2","0","0","0","2","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","12"," "," ","14","14","1","0","687","5110","444"
"Cotopaxi","Latacunga","50150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11"," "," ","11","11","2","1","708","4015","457"
"Cotopaxi","Latacunga","50103","12","3","18","2","0","0","0","7","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","9"," "," ","16","16","0","0","1369","434","748"
"Cotopaxi","Salcedo","50550","1","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"," "," ","4","4","0","0","183","1460","119"
"Cotopaxi","Salcedo","50550","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"," "," ","7","7","1","0","614","2555","376"
